State transition: J2-2_0, time: 1
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 1
State transition: J2-0_3, time: 49
State transition: J2-3_0, time: 5
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 6
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 1
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 1
State transition: J2-0_2, time: 1
State transition: J2-2_1, time: 27
